eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/learning_rate,train/std,train/policy_gradient_loss,train/loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction
18.998467734788573,1000,161.0,,,,,,,,,,,,,,,,
19.05059378976148,2000,161.0,,,,,,,,,,,,,,,,
,2048,,157.25,30,66,1,121.26549733333336,,,,,,,,,,,
-0.9941667869701633,3000,161.0,,,,,,-2.8182555817067625,10,0.0003,0.9802389144897461,0.0007146528776502236,1.111918568611145,10.48581262305379,0.0063341646,-0.016777515411376953,0.2,0.110791015625
-0.9941687449616439,4000,161.0,,,,,,,,,,,,,,,,
,4096,,163.52,30,135,2,124.05811016,,,,,,,,,,,
80.1088012347769,5000,137.6,,,,,,-2.7979376785457135,20,0.0003,0.9804058074951172,0.0014526149840094148,1.6066967248916626,10.501569892466069,0.01810669,0.5393591225147247,0.2,0.1771484375
79.96497598364367,6000,138.0,,,,,,,,,,,,,,,,
,6144,,149.76923076923077,30,203,3,116.32369700000002,,,,,,,,,,,
182.8403877686804,7000,186.0,,,,,,-2.798829147964716,30,0.0003,0.9809808731079102,-0.00292352958349511,7.385467529296875,21.9501617744565,0.03247774,0.7022944688796997,0.2,0.222119140625
182.78302844574063,8000,185.0,,,,,,,,,,,,,,,,
,8192,,148.76363636363635,29,277,4,124.61696543636363,,,,,,,,,,,
183.4740861601611,9000,130.6,,,,,,-2.796991417557001,40,0.0003,0.9775084257125854,0.006474656309001148,12.444009780883789,27.978698191046714,0.030720102,0.7078632116317749,0.2,0.27353515625
183.56467189203175,10000,131.6,,,,,,,,,,,,,,,,
,10240,,149.02941176470588,29,343,5,135.0478281617647,,,,,,,,,,,
163.38735484638383,11000,196.6,,,,,,-2.791477400064468,50,0.0003,0.9776583909988403,0.02429257863841485,3.8204965591430664,18.95977547764778,0.036773406,0.8084453493356705,0.2,0.3154296875
165.19885326836956,12000,199.8,,,,,,,,,,,,,,,,
,12288,,154.29113924050634,29,413,6,141.77636964556964,,,,,,,,,,,
194.93798797768395,13000,173.6,,,,,,-2.7917100936174393,60,0.0003,0.9766730070114136,0.011779670456598978,1.574358344078064,13.36316218599677,0.021828774,0.920537918806076,0.2,0.255322265625
194.74591271434764,14000,173.6,,,,,,,,,,,,,,,,
,14336,,153.31182795698925,29,484,7,144.6605189354839,,,,,,,,,,,
201.45368083870488,15000,125.0,,,,,,-2.793047635257244,70,0.0003,0.9794149398803711,0.009591611643554643,8.442060470581055,24.13175295740366,0.090232536,0.8887308686971664,0.2,0.333642578125
202.35809815268658,16000,125.6,,,,,,,,,,,,,,,,
,16384,,152.21,29,550,8,152.62545839999999,,,,,,,,,,,
254.8606798675559,17000,157.8,,,,,,-2.796682308614254,80,0.0003,0.9793214201927185,0.015035385366354603,5.224559307098389,24.62339834868908,0.036236655,0.87938292324543,0.2,0.366455078125
252.92876705729213,18000,155.2,,,,,,,,,,,,,,,,
,18432,,154.68,29,617,9,165.00650039000004,,,,,,,,,,,
233.39888626257599,19000,171.4,,,,,,-2.7942671090364457,90,0.0003,0.9781442880630493,0.009316863215644844,7.282125949859619,28.529731851816177,0.05082345,0.8826380670070648,0.2,0.347314453125
235.56602312266259,20000,173.2,,,,,,,,,,,,,,,,
,20480,,159.08,29,685,10,178.58535134000002,,,,,,,,,,,
251.0424780986432,21000,167.2,,,,,,-2.787352754175663,100,0.0003,0.9715172052383423,0.006863594432070385,17.147605895996094,42.7263115376234,0.04531604,0.8749368339776993,0.2,0.3373046875
251.15319608814315,22000,167.2,,,,,,,,,,,,,,,,
,22528,,162.39,29,751,11,191.63772791,,,,,,,,,,,
279.2287047386773,23000,133.0,,,,,,-2.779259028285742,110,0.0003,0.9709826111793518,0.005606501427246257,13.975630760192871,44.283273270726205,0.025909543,0.8074793815612793,0.2,0.264111328125
277.4361051627362,24000,130.6,,,,,,,,,,,,,,,,
