eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss
632.2,1275.879484455983,151000,,,,,,,,,,,,,,,,
638.4,1265.1810078104013,152000,,,,,,,,,,,,,,,,
,,152048,237.5,18,112,1,431.53109242,,,,,,,,,,,
610.6,1264.3558073676759,153000,,,,,,1.129817008972168,740,31.684921264648438,0.2,0.060290154,0.0003,0.9015489742159843,-3.085250383615494,0.508251953125,93.53744587600231,0.023252915311604738
485.4,1021.0346466024181,154000,,,,,,,,,,,,,,,,
,,154096,230.98,19,215,2,434.45889474999996,,,,,,,,,,,
281.8,432.3441830437281,155000,,,,,,1.128624677658081,750,6.530967712402344,0.2,0.20518091,0.0003,0.9259295761585236,-3.0787391759455205,0.47509765625,65.16257700622081,0.033972984814317896
280.0,433.11428236445136,156000,,,,,,,,,,,,,,,,
,,156144,236.21,21,287,3,443.68534803,,,,,,,,,,,
310.0,456.92708100621604,157000,,,,,,1.1291810274124146,760,16.58900260925293,0.2,0.2224468,0.0003,0.946874599903822,-3.074662356078625,0.499462890625,43.723869144916534,0.02724510540429037
314.0,454.5812332407957,158000,,,,,,,,,,,,,,,,
,,158192,241.58,22,364,4,450.25459427000004,,,,,,,,,,,
267.6,425.791388347411,159000,,,,,,1.1297721862792969,770,6.986265182495117,0.2,0.080714315,0.0003,0.9512452259659767,-3.0747141875326633,0.45078125,41.71639654785395,0.02007306597952265
266.0,425.0172163643139,160000,,,,,,,,,,,,,,,,
,,160240,243.45,23,433,5,453.04814365,,,,,,,,,,,
199.8,194.60260396871817,161000,,,,,,1.133232593536377,780,2.860696315765381,0.2,0.18151549,0.0003,0.8910690695047379,-3.0810617692768574,0.49453125,32.46902651265263,0.02960017538862303
190.4,189.43049445326324,162000,,,,,,,,,,,,,,,,
,,162288,254.72,24,497,6,457.48057606000003,,,,,,,,,,,
