train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/learning_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
-15.211091995239258,4044,0.29847246408462524,4145,0.0003,15,68,60.955882352941174,21.532011529411765,0.4361444413661957,-3.941519260406494,261,,
-16.470176696777344,4223,0.2831042408943176,4324,0.0003,15,72,60.05555555555556,21.533131444444443,0.29264041781425476,-4.130645751953125,271,,
-17.278379440307617,4393,0.2692983150482178,4494,0.0003,15,76,59.13157894736842,21.76881261842105,0.487284779548645,-4.268368721008301,281,,
-17.116920471191406,4628,0.2514583170413971,4729,0.0003,16,80,59.1125,22.165453037500004,0.5541690587997437,-4.306344985961914,292,,
-17.698898315429688,4885,0.2334393411874771,4986,0.0003,16,84,59.357142857142854,22.918197785714288,1.2396931648254395,-4.533495903015137,304,,
-17.30434799194336,4899,0.2325039654970169,5000,0.0003,,,,,0.5959135293960571,-4.5183563232421875,,157.8,119.47746652633104
-18.28015899658203,5111,0.21890102326869965,5212,0.0003,15,88,59.22727272727273,23.91925171590909,0.9359889626502991,-4.606987476348877,331,,
-17.693153381347656,5308,0.2072744518518448,5409,0.0003,15,92,58.79347826086956,24.525926141304343,0.8213905692100525,-4.495628833770752,342,,
-18.735816955566406,5514,0.19609753787517548,5615,0.0003,15,96,58.489583333333336,25.131461364583334,0.6799129247665405,-4.562715530395508,352,,
-19.575481414794922,5790,0.18231745064258575,5891,0.0003,16,100,58.91,26.411056900000002,1.3561725616455078,-4.316929817199707,365,,
-18.7054500579834,5899,0.1772049516439438,6000,0.0003,,,,,1.0922235250473022,-4.414827346801758,,156.6,178.89634155452623
-19.64132308959961,6051,0.1704125702381134,6152,0.0003,15,104,58.51,27.754204380000004,1.6512434482574463,-4.550571441650391,393,,
-20.987220764160156,6214,0.16343991458415985,6315,0.0003,15,108,57.26,28.29763915,1.2346558570861816,-4.706494331359863,402,,
-20.178974151611328,6395,0.1559196263551712,6496,0.0003,15,112,56.25,28.512404839999995,0.9627809524536133,-4.439235687255859,412,,
-22.997201919555664,6508,0.151402086019516,6609,0.0003,15,116,54.16,28.42369004,1.014176607131958,-4.396066665649414,420,,
-21.660751342773438,6629,0.146620512008667,6730,0.0003,15,120,53.1,28.05351813,1.539849042892456,-4.687009811401367,429,,
-20.75273895263672,6771,0.14119823276996613,6872,0.0003,15,124,52.04,28.392883150000003,1.7297918796539307,-4.615664482116699,437,,
-22.64989471435547,6881,0.1371486335992813,6982,0.0003,15,128,50.33,27.891158429999997,3.570451259613037,-4.723623275756836,445,,
-21.617267608642578,6899,0.13648469746112823,7000,0.0003,,,,,1.5228006839752197,-4.421704292297363,,136.6,178.83566003658672
-21.32534408569336,7021,0.13211098313331604,7122,0.0003,15,132,49.94,28.099362930000005,1.1912678480148315,-4.6453776359558105,468,,
-21.98147964477539,7165,0.12707635760307312,7266,0.0003,15,136,49.36,28.293826,1.0366333723068237,-5.066930294036865,477,,
-23.174964904785156,7323,0.12170857191085815,7424,0.0003,15,140,47.92,28.551411810000005,0.6871369481086731,-5.1201605796813965,487,,
-23.24197769165039,7494,0.11620822548866272,7595,0.0003,15,144,47.79,29.288091050000006,1.4411396980285645,-4.62101936340332,496,,
-22.984939575195312,7766,0.10801305621862411,7867,0.0003,15,148,48.17,30.685146829999997,1.8581218719482422,-4.8454413414001465,509,,
-23.315834045410156,7899,0.10423913598060608,8000,0.0003,,,,,1.1215784549713135,-4.878114700317383,,220.4,205.65517129918334
-22.087732315063477,8034,0.10051753371953964,8135,0.0003,15,152,48.46,31.63805382,1.0177836418151855,-5.135438919067383,540,,
-23.168346405029297,8460,0.08991339802742004,8561,0.0003,15,156,50.77,33.196231620000006,0.9310561418533325,-4.132389068603516,557,,
-23.011512756347656,8899,0.0808311402797699,9000,0.0003,,,,,1.9223638772964478,-4.255059242248535,,189.4,120.21501905406585
-23.853233337402344,9013,0.07872229069471359,9114,0.0003,15,160,54.22,34.900911810000004,1.4030417203903198,-3.7494027614593506,594,,
-23.531984329223633,9446,0.07156636565923691,9547,0.0003,15,164,56.56,35.32954588,2.1174988746643066,-3.287026882171631,611,,
-23.604583740234375,9772,0.06673410534858704,9873,0.0003,15,168,57.28,35.87921245,1.8662081956863403,-3.4434974193573,626,,
-21.851394653320312,9899,0.06485547125339508,10000,0.0003,,,,,1.9808346033096313,-3.0745627880096436,,196.2,112.94784152752909
-22.543846130371094,10171,0.06113426387310028,10272,0.0003,15,172,59.48,36.72837543,2.7883503437042236,-2.7380685806274414,659,,
