train/critic_loss,train/ent_coef,train/ent_coef_loss,time/time_elapsed,train/actor_loss,time/fps,time/episodes,train/learning_rate,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
0.27331480383872986,0.9594215154647827,-0.14000532031059265,11,-4.411028861999512,21,4,0.0003,139,240,68.859447,60.0,,
0.04765782505273819,0.9103419780731201,-0.317152738571167,21,-5.248116493225098,19,8,0.0003,314,415,58.150128499999994,51.875,,
0.0797201618552208,0.8689771890640259,-0.47425395250320435,30,-5.806003093719482,18,12,0.0003,469,570,52.60847524999999,47.5,,
0.11018560826778412,0.8275001049041748,-0.638700008392334,39,-7.003815650939941,18,16,0.0003,632,733,51.2161248125,45.8125,,
0.27891260385513306,0.7908348441123962,-0.7939910888671875,49,-8.945615768432617,17,20,0.0003,783,884,49.1853844,44.2,,
0.1463458240032196,0.7637874484062195,-0.9042153358459473,,-9.591922760009766,,,0.0003,899,1000,,,176.4486521601437,132.4
0.2395898699760437,0.757394015789032,-0.9349294304847717,72,-9.543964385986328,14,24,0.0003,927,1028,46.747360833333325,42.833333333333336,,
0.5008388161659241,0.7169204354286194,-1.120834469795227,82,-10.918384552001953,14,28,0.0003,1110,1211,47.649763535714285,43.25,,
0.17481815814971924,0.6847591996192932,-1.2768269777297974,91,-11.758134841918945,14,32,0.0003,1263,1364,46.906196406250004,42.625,,
0.3557508587837219,0.6520770192146301,-1.4332188367843628,100,-13.30551528930664,15,36,0.0003,1426,1527,46.55249669444444,42.416666666666664,,
0.7988150119781494,0.6292089819908142,-1.5538278818130493,109,-14.176336288452148,15,40,0.0003,1545,1646,44.6839795,41.15,,
0.30561143159866333,0.5984541773796082,-1.734823226928711,118,-14.78410816192627,15,44,0.0003,1712,1813,45.035477954545456,41.20454545454545,,
0.6674304008483887,0.5658029317855835,-1.9154722690582275,,-16.08397674560547,,,0.0003,1899,2000,,,176.01687453230335,134.8
0.9491958618164062,0.5608993172645569,-1.9440217018127441,143,-16.201133728027344,14,48,0.0003,1928,2029,46.59341091666667,42.270833333333336,,
0.572906494140625,0.5320591926574707,-2.128450393676758,153,-18.13602066040039,14,52,0.0003,2104,2205,46.78327796153846,42.40384615384615,,
0.4719388782978058,0.5081819891929626,-2.276129961013794,162,-18.963821411132812,14,56,0.0003,2257,2358,46.180512375,42.107142857142854,,
0.7072018384933472,0.4834909737110138,-2.42916202545166,172,-19.230070114135742,14,60,0.0003,2423,2524,46.20396943333334,42.06666666666667,,
1.112807035446167,0.4602809548377991,-2.602572441101074,182,-19.66211700439453,14,64,0.0003,2587,2688,46.15194846875,42.0,,
0.8321205377578735,0.43781763315200806,-2.7831766605377197,191,-21.425676345825195,14,68,0.0003,2754,2855,46.13894507352941,41.98529411764706,,
2.0013833045959473,0.41920897364616394,-2.895900249481201,,-22.95131492614746,,,0.0003,2899,3000,,,141.42388861508226,117.8
2.153367757797241,0.41471341252326965,-2.9778034687042236,214,-22.272708892822266,14,72,0.0003,2935,3036,46.183750333333336,42.166666666666664,,
1.2048038244247437,0.39698463678359985,-3.100191116333008,223,-23.37124252319336,14,76,0.0003,3081,3182,45.604113815789475,41.86842105263158,,
2.0266571044921875,0.3764031231403351,-3.272737503051758,233,-23.033023834228516,14,80,0.0003,3259,3360,45.706807100000006,42.0,,
1.9038673639297485,0.35774481296539307,-3.4565114974975586,243,-25.05006980895996,14,84,0.0003,3429,3530,45.88519697619048,42.023809523809526,,
1.146106243133545,0.3413616716861725,-3.628018856048584,252,-24.646953582763672,14,88,0.0003,3586,3687,45.63308202272727,41.89772727272727,,
3.7102878093719482,0.32671695947647095,-3.7011280059814453,261,-23.771629333496094,14,92,0.0003,3733,3834,45.31958579347826,41.67391304347826,,
3.731968879699707,0.31303250789642334,-3.8948745727539062,270,-26.343425750732422,14,96,0.0003,3877,3978,45.020019354166664,41.4375,,
1.9364287853240967,0.3109896779060364,-3.8723316192626953,,-26.556020736694336,,,0.0003,3899,4000,,,98.08483724876496,92.4
1.4355442523956299,0.296876460313797,-4.025559425354004,292,-28.434368133544922,14,100,0.0003,4055,4156,45.031241259999994,41.56,,
2.3957481384277344,0.28342047333717346,-4.241480350494385,301,-27.540199279785156,14,104,0.0003,4211,4312,44.00582463999999,40.72,,
2.5508170127868652,0.26829418540000916,-4.38934850692749,312,-28.675140380859375,14,108,0.0003,4396,4497,44.121762770000004,40.82,,
2.7586803436279297,0.25380754470825195,-4.478115081787109,322,-27.636184692382812,14,112,0.0003,4583,4684,44.577054159999996,41.14,,
2.946765422821045,0.23904989659786224,-4.684688091278076,332,-29.811080932617188,14,116,0.0003,4785,4886,45.025926889999994,41.53,,
1.6371794939041138,0.23107673227787018,-4.856408596038818,,-30.1917781829834,,,0.0003,4899,5000,,,179.58163765222852,137.4
1.7920360565185547,0.2267189472913742,-4.766295909881592,356,-29.12699317932129,14,120,0.0003,4963,5064,45.137598690000004,41.8,,
3.4959521293640137,0.21202680468559265,-4.982208728790283,368,-28.746458053588867,14,124,0.0003,5190,5291,46.15532800000001,42.63,,
5.321953296661377,0.19861261546611786,-5.06508731842041,379,-30.24755859375,14,128,0.0003,5416,5517,46.36406152000001,43.06,,
2.0638277530670166,0.18773630261421204,-5.276658058166504,389,-30.168922424316406,14,132,0.0003,5610,5711,46.82773032000001,43.47,,
2.2284979820251465,0.17709851264953613,-5.2501420974731445,400,-30.84140968322754,14,136,0.0003,5814,5915,47.644230019999995,43.88,,
