eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/learning_rate,train/std,train/policy_gradient_loss,train/loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction
18.998467734788573,1000,161,,,,,,,,,,,,,,,,
19.05059378976148,2000,161,,,,,,,,,,,,,,,,
,2048,,157.25,30,66,1,121.26549733333336,,,,,,,,,,,
-0.994166787,3000,161,,,,,,-2.818255582,10,0.0003,0.9802389144897461,0.000714653,1.111918568611145,10.48581262305379,0.006334165,-0.016777515,0.2,0.110791016
-0.994168745,4000,161,,,,,,,,,,,,,,,,
,4096,,163.52,30,135,2,124.0581102,,,,,,,,,,,
80.10880123,5000,137.6,,,,,,-2.797937679,20,0.0003,0.9804058074951172,0.001452615,1.6066967248916626,10.501569892466069,0.01810669,0.5393591225147247,0.2,0.177148438
79.96497598364367,6000,138,,,,,,,,,,,,,,,,
,6144,,149.76923076923077,30,203,3,116.32369700000002,,,,,,,,,,,
182.8403877686804,7000,186,,,,,,-2.798829148,30,0.0003,0.9809808731079102,-0.00292353,7.385467529296875,21.95016177,0.03247774,0.7022944688796997,0.2,0.222119141
182.78302844574063,8000,185,,,,,,,,,,,,,,,,
,8192,,148.76363636363635,29,277,4,124.61696543636363,,,,,,,,,,,
183.4740861601611,9000,130.6,,,,,,-2.796991418,40,0.0003,0.9775084257125854,0.006474656,12.444009780883789,27.978698191046714,0.030720102,0.7078632116317749,0.2,0.273535156
183.56467189203175,10000,131.6,,,,,,,,,,,,,,,,
,10240,,149.02941176470588,29,343,5,135.0478281617647,,,,,,,,,,,
163.38735484638383,11000,196.6,,,,,,-2.7914774,50,0.0003,0.9776583909988403,0.024292579,3.8204965591430664,18.95977547764778,0.036773406,0.8084453493356705,0.2,0.315429688
165.19885326836956,12000,199.8,,,,,,,,,,,,,,,,
,12288,,154.29113924050634,29,413,6,141.77636964556964,,,,,,,,,,,
194.93798797768395,13000,173.6,,,,,,-2.791710094,60,0.0003,0.9766730070114136,0.011779670456598978,1.574358344078064,13.36316218599677,0.021828774,0.920537919,0.2,0.255322266
