eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std
288.48379154824363,129000,135.6,,,,,,620,0.8852941021323204,0.01727161911840085,0.2,0.521044921875,70.4796146273613,0.088355884,-2.848018753528595,0.0003,7.729017734527588,1.0091294050216675
313.74116784974393,130000,145.4,,,,,,,,,,,,,,,,
,130432,,345.40134469000003,9,223.43,644,28,,,,,,,,,,,
377.40874981697925,131000,166.8,,,,,,630,0.8950703665614128,0.012900230544619262,0.2,0.548828125,37.98947827070951,0.21249314,-2.860366249829531,0.0003,5.609382152557373,1.016398549079895
476.40956041335886,132000,215.0,,,,,,,,,,,,,,,,
,132480,,344.7827391699999,10,214.35,714,28,,,,,,,,,,,
304.53834842523065,133000,139.4,,,,,,640,0.9167709499597549,0.010035552334738896,0.2,0.510888671875,52.268590721487996,0.20881084,-2.8682784743607046,0.0003,7.640565395355225,1.0161092281341553
295.1197750068168,134000,135.4,,,,,,,,,,,,,,,,
,134528,,342.8472190499999,11,200.89,781,28,,,,,,,,,,,
453.15237711846567,135000,197.0,,,,,,650,0.8093847185373306,0.008003403275506572,0.2,0.518017578125,91.13456613123417,0.09750866,-2.866076348721981,0.0003,13.019232749938965,1.0108741521835327
431.2255570137495,136000,193.2,,,,,,,,,,,,,,,,
,136576,,343.73919134000005,12,188.66,852,28,,,,,,,,,,,
411.7398248940801,137000,178.2,,,,,,660,0.8249096721410751,-0.001124346544384025,0.2,0.5341796875,69.93307499438524,0.13155054,-2.8599053606390954,0.0003,8.04942798614502,1.0112221240997314
414.4020653677959,138000,181.2,,,,,,,,,,,,,,,,
,138624,,348.4556213199999,13,184.77,918,28,,,,,,,,,,,
555.1951332454046,139000,297.6,,,,,,670,0.7503712624311447,0.029626728684525004,0.2,0.58583984375,87.71011299937963,0.13398492,-2.8717173404991625,0.0003,3.181544303894043,1.0250589847564697
448.8499069690799,140000,240.2,,,,,,,,,,,,,,,,
,140672,,350.92141828,14,183.14,992,28,,,,,,,,,,,
758.0453598430046,141000,349.4,,,,,,680,0.8811957985162735,0.04309721263416577,0.2,0.617626953125,58.54040936231613,0.24758789,-2.8879376210272314,0.0003,3.17101788520813,1.0292179584503174
435.9406710463081,142000,195.6,,,,,,,,,,,,,,,,
,142720,,363.47653575,15,186.69,1069,28,,,,,,,,,,,
661.4223877782919,143000,301.0,,,,,,690,0.9091544598340988,0.010284798193606549,0.2,0.53583984375,41.25603619366884,0.09869131,-2.9062507800757884,0.0003,5.62963342666626,1.0430930852890015
553.9698407387281,144000,240.2,,,,,,,,,,,,,,,,
,144768,,375.65515217,16,191.85,1142,28,,,,,,,,,,,
403.11900318048794,145000,171.2,,,,,,700,0.8838344439864159,0.02674759763176553,0.2,0.5919921875,53.76380523145199,0.23606385,-2.918256114423275,0.0003,5.7489166259765625,1.0378077030181885
397.59343835841867,146000,169.8,,,,,,,,,,,,,,,,
,146816,,390.37626876,17,196.79,1208,28,,,,,,,,,,,
424.39928206896946,147000,179.2,,,,,,710,0.807611882686615,0.01988268269051332,0.2,0.58056640625,116.61325451433659,0.17349951,-2.911108134686947,0.0003,17.534696578979492,1.0412198305130005
434.8220926512666,148000,189.8,,,,,,,,,,,,,,,,
,148864,,397.68766968999995,18,198.41,1277,28,,,,,,,,,,,
387.07627902188614,149000,166.2,,,,,,720,0.8270527273416519,0.011554118923959323,0.2,0.576904296875,76.83386442512274,0.1463329,-2.930815353989601,0.0003,4.229289531707764,1.0571955442428589
346.49336546688573,150000,149.8,,,,,,,,,,,,,,,,
,150912,,392.23713389999995,19,193.49,1345,28,,,,,,,,,,,
310.43248829753577,151000,137.6,,,,,,730,0.7778760194778442,0.016921064438065514,0.2,0.5599609375,130.00437366664409,0.16750161,-2.9538567401468754,0.0003,16.9856014251709,1.0622481107711792
346.38810140621865,152000,150.8,,,,,,,,,,,,,,,,
,152960,,405.03852644000006,20,197.0,1409,29,,,,,,,,,,,
62.72258659853105,153000,52.0,,,,,,740,0.7576431035995483,0.16510308338620233,0.2,0.804443359375,111.36075032651425,13.070326,-2.9641066655516624,0.0003,23.760513305664062,1.0711133480072021
60.543627506454506,154000,49.8,,,,,,,,,,,,,,,,
81.11023549200908,155000,58.4,,,,,,,,,,,,,,,,
,155008,,293.01217345000003,21,148.22,1506,28,,,,,,,,,,,
95.42975097072558,156000,63.6,,,,,,750,0.5912200808525085,0.0855039202302578,0.2,0.673583984375,202.0370415508747,0.17186143,-2.992270216345787,0.0003,53.53314971923828,1.0961365699768066
75.00496647424298,157000,56.2,,,,,,,,,,,,,,,,
,157056,,175.56423423000004,22,96.07,1588,28,,,,,,,,,,,
