time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/explained_variance,train/value_loss,train/policy_gradient_loss
48000,213.47083066850172,179.4,,,,,,9.310011863708496,0.357177734375,230,0.2,-2.685208373516798,0.0003,0.06286711,0.9241503477096558,0.7220878601074219,33.53260284662247,0.00036955948162358253
49000,213.64067346930096,183.6,,,,,,,,,,,,,,,,
49152,,,24,30,1637,165.39419769,164.66,,,,,,,,,,,
50000,199.24906627879682,136.2,,,,,,16.551145553588867,0.358251953125,240,0.2,-2.6821887947618963,0.0003,0.041020248,0.9266484379768372,0.4895924925804138,49.52049249708652,-0.0077698869805317376
51000,197.30247557046314,139.6,,,,,,,,,,,,,,,,
51200,,,25,30,1700,172.89358247,172.94,,,,,,,,,,,
52000,85.19515570644799,82.6,,,,,,4.915252685546875,0.44072265625,250,0.2,-2.6796540208160877,0.0003,0.14604741,0.9238272905349731,0.7066487371921539,31.43017638027668,0.01225436342356261
53000,84.64931259678924,81.4,,,,,,,,,,,,,,,,
53248,,,26,30,1765,165.94479619999998,169.48,,,,,,,,,,,
54000,125.82921947760624,91.8,,,,,,22.273710250854492,0.35576171875,260,0.2,-2.688226106762886,0.0003,0.035351783,0.9312329292297363,0.3280596137046814,80.35324572324753,0.0008551048551453278
55000,122.94437617429139,88.8,,,,,,,,,,,,,,,,
55296,,,27,30,1836,160.88423973,162.03,,,,,,,,,,,
56000,216.2841038104707,186.2,,,,,,44.97538375854492,0.349658203125,270,0.2,-2.694408057630062,0.0003,0.0404378,0.9312046766281128,0.46973717212677,121.67314966320991,0.003167519165435806
57000,240.56533649837365,212.6,,,,,,,,,,,,,,,,
57344,,,28,30,1904,161.25813823000001,163.18,,,,,,,,,,,
58000,208.7506782032702,112.4,,,,,,7.31714391708374,0.36923828125,280,0.2,-2.6848300106823446,0.0003,0.055679,0.9219916462898254,0.7380284368991852,39.56568227857351,0.004829861930920743
59000,218.79479642158623,128.8,,,,,,,,,,,,,,,,
59392,,,29,30,1968,172.76661337,165.51,,,,,,,,,,,
60000,237.41860159883726,146.2,,,,,,23.17019271850586,0.39501953125,290,0.2,-2.668554146587849,0.0003,0.054941393,0.9162940382957458,0.6451577842235565,79.26813482940197,0.008234492756309919
61000,225.45092218896244,132.0,,,,,,,,,,,,,,,,
61440,,,30,30,2032,177.03573402,166.23,,,,,,,,,,,
62000,263.4088200292579,171.4,,,,,,8.311894416809082,0.365234375,300,0.2,-2.6581712916493414,0.0003,0.05451135,0.9101223349571228,0.7076376080513,51.36445352733135,-0.004222175726317801
63000,289.5720911345052,196.8,,,,,,,,,,,,,,,,
63488,,,31,30,2100,181.60726103999997,166.29,,,,,,,,,,,
64000,273.5354141811011,158.0,,,,,,43.98582458496094,0.4708984375,310,0.2,-2.6442299582064153,0.0003,0.05338984,0.9061658382415771,0.8690646588802338,23.821144510805606,0.021887081259046683
65000,247.5416556873053,138.0,,,,,,,,,,,,,,,,
65536,,,32,30,2164,190.08594458,165.69,,,,,,,,,,,
66000,269.22817368414906,156.2,,,,,,3.773979663848877,0.40380859375,320,0.2,-2.648630879819393,0.0003,0.10854649,0.915449857711792,0.9004940837621689,25.05501499772072,0.005762871049228124
67000,297.99010819885007,165.4,,,,,,,,,,,,,,,,
67584,,,33,30,2228,195.21785155999999,165.9,,,,,,,,,,,
68000,213.59404290471284,125.2,,,,,,3.8889458179473877,0.39443359375,330,0.2,-2.6580094642937184,0.0003,0.115716815,0.9139838814735413,0.9042017757892609,22.879100654274225,-0.00534199615358375
69000,216.46792974111887,126.4,,,,,,,,,,,,,,,,
69632,,,34,30,2286,212.33880195,177.94,,,,,,,,,,,
70000,123.23587505040923,83.2,,,,,,5.854708671569824,0.329248046875,340,0.2,-2.6626148000359535,0.0003,0.0456535,0.9169526100158691,0.8718459010124207,27.59622337371111,-0.00023844918177928776
71000,193.99583797581872,132.2,,,,,,,,,,,,,,,,
71680,,,35,30,2351,218.92689835999997,180.21,,,,,,,,,,,
