train/ent_coef,rollout/ep_len_mean,time/total_timesteps,time/fps,train/critic_loss,train/n_updates,train/ent_coef_loss,time/episodes,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_ep_length,eval/mean_reward
0.2316569685935974,144.29,218110,12,2.380079984664917,218007,-0.5584041476249695,2148,-74.0399169921875,234.55582926,8,0.0003,,
0.21837295591831207,141.99,218325,16,1.518775463104248,218222,-0.35011839866638184,2152,-67.44873046875,231.13321603999998,19,0.0003,,
0.21655483543872833,136.94,218452,15,1.4914531707763672,218349,-0.03299696743488312,2156,-71.20008850097656,222.63584265,28,0.0003,,
0.2158953845500946,135.31,218573,15,1.4919756650924683,218470,0.09494607150554657,2160,-71.373046875,219.97875345,37,0.0003,,
0.21300143003463745,132.36,218690,15,1.2834197282791138,218587,-0.2389892190694809,2164,-69.56283569335938,215.27573475999995,45,0.0003,,
0.20733921229839325,127.64,218829,15,1.2366355657577515,218726,0.15601250529289246,2168,-67.51239013671875,207.25915829999997,54,0.0003,,
0.20282232761383057,,219000,,1.1529548168182373,218897,0.4368841350078583,,-68.72831726074219,,,0.0003,888.0,1968.9131162952065
0.20188738405704498,126.84,219062,8,1.0788328647613525,218959,-0.07977913320064545,2172,-69.33030700683594,206.04056915000004,118,0.0003,,
0.19847270846366882,119.53,219211,9,1.114013433456421,219108,-0.11098457872867584,2176,-67.81106567382812,193.67227886,128,0.0003,,
0.19220547378063202,122.99,219845,12,1.034470558166504,219742,0.2636237144470215,2180,-65.03009033203125,201.10090132999997,152,0.0003,,
0.19281809031963348,,220000,,0.9729598760604858,219897,-0.042972102761268616,,-65.59619140625,,,0.0003,1223.0,2693.5983683345135
0.19554796814918518,121.44,220167,9,0.8946159482002258,220064,0.16286979615688324,2184,-65.40318298339844,198.74059914,235,0.0003,,
0.20025761425495148,116.65,220382,9,0.8558402061462402,220279,0.04615607112646103,2188,-67.08882904052734,191.02648634000002,247,0.0003,,
0.20362381637096405,108.35,220583,9,0.9103097319602966,220480,-0.11087295413017273,2192,-64.520751953125,177.84482838,258,0.0003,,
0.20606699585914612,106.99,220947,10,0.765669584274292,220844,0.19510161876678467,2196,-68.02291870117188,176.6459813,274,0.0003,,
0.20613960921764374,,221000,,0.8030765056610107,220897,0.25643616914749146,,-65.93505859375,,,0.0003,1771.4,3814.330729066192
0.20526640117168427,108.0,221385,8,0.7092092037200928,221282,0.17393137514591217,2200,-70.31571960449219,178.94018911000006,389,0.0003,,
0.21103553473949432,104.74,221903,9,0.6547314524650574,221800,0.12932077050209045,2204,-68.85376739501953,174.04532838,409,0.0003,,
0.21282130479812622,,222000,,0.6873129606246948,221897,0.08350065350532532,,-69.68435668945312,,,0.0003,1729.6,3499.3100586492646
0.22078631818294525,102.93,222351,8,0.688732922077179,222248,0.4275849163532257,2208,-68.15068817138672,171.80005695,522,0.0003,,
0.2234337329864502,97.97,222595,8,0.6688794493675232,222492,0.10577832162380219,2212,-68.62354278564453,164.23223101000008,534,0.0003,,
0.22721491754055023,95.64,222869,8,0.6489962935447693,222766,-0.06653846055269241,2216,-70.0231704711914,160.87014876,547,0.0003,,
0.2274743765592575,,223000,,0.5658166408538818,222897,-0.04901227355003357,,-70.28895568847656,,,0.0003,1853.4,3930.3133791919363
0.22889871895313263,85.24,223204,7,0.553382396697998,223101,-0.12369829416275024,2220,-71.16796875,144.46439289999998,663,0.0003,,
0.23219582438468933,86.31,223640,8,0.5483256578445435,223537,-0.10822230577468872,2224,-71.2855224609375,147.08112323999998,681,0.0003,,
0.23297443985939026,,224000,,0.46841591596603394,223897,-0.2999419867992401,,-75.09709167480469,,,0.0003,1576.8,3133.157208590515
0.23265235126018524,87.74,224091,7,0.5559462308883667,223988,-0.0415206179022789,2228,-70.41123962402344,150.54578734999998,786,0.0003,,
0.23448200523853302,87.0,224452,8,0.68692547082901,224349,-0.024869509041309357,2232,-71.15155792236328,149.71472789999999,802,0.0003,,
0.23643329739570618,84.75,224732,8,0.4945002794265747,224629,-0.1712120622396469,2236,-75.92085266113281,145.95931688,816,0.0003,,
0.23819585144519806,,225000,,0.4372154474258423,224897,-0.024615682661533356,,-75.44783020019531,,,0.0003,1931.6,3820.789148592861
0.2428901642560959,85.98,225395,7,0.44906085729599,225292,-0.1172199696302414,2240,-74.03562927246094,149.22836845,945,0.0003,,
0.24544808268547058,80.67,225683,8,0.5458239316940308,225580,0.04269284009933472,2244,-76.53475952148438,141.28117931999998,958,0.0003,,
0.24663233757019043,,226000,,0.4598396122455597,225897,0.1554557979106903,,-75.76338195800781,,,0.0003,1838.8,3633.9779141846993
0.2466772049665451,79.67,226077,7,0.5177092552185059,225974,0.04151129722595215,2248,-74.33145904541016,139.60774157,1075,0.0003,,
0.24934670329093933,82.46,226571,7,0.4251047372817993,226468,0.081510528922081,2252,-78.2101058959961,144.00410126,1095,0.0003,,
0.2509526014328003,83.45,226797,7,0.38826197385787964,226694,-0.17053689062595367,2256,-77.34288024902344,145.88415705000003,1107,0.0003,,
0.2513812184333801,,227000,,0.39529773592948914,226897,-0.01695285737514496,,-79.32356262207031,,,0.0003,1956.6,4148.3942971270135
0.2524096667766571,85.92,227165,7,0.4482669234275818,227062,-0.1699318140745163,2260,-81.06109619140625,150.79618099,1228,0.0003,,
0.25403937697410583,90.53,227743,7,0.4206181466579437,227640,-0.2722621262073517,2264,-81.61569213867188,160.33182045,1251,0.0003,,
0.2535320520401001,,228000,,0.4177870750427246,227897,-0.15481102466583252,,-82.56141662597656,,,0.0003,2244.2,4453.572834248195
