train/n_updates,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/critic_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
15727,14,-30.62930298,76.74103047,48.42,15828,312,0.3566986918449402,1081,0.0003,-0.022965744,0.035202827,,
15884,14,-29.82396698,76.45400002999999,47.98,15985,316,0.3494862914085388,1091,0.0003,1.0469584465026855,0.036660329,,
15899,,-30.53108978,,,16000,,0.3421289026737213,,0.0003,1.418034315109253,0.036781612783670425,152.6,315.0482019252704
16084,14,-29.85548782,77.72754534,48.34,16185,320,0.3181348145008087,1117,0.0003,1.0929385423660278,0.038486619,,
16257,14,-31.99649048,78.53929288999998,48.32,16358,324,0.3416593074798584,1127,0.0003,0.7624266743659973,0.039950494,,
16460,14,-31.31179047,79.16036780999998,48.37,16561,328,0.3840803802013397,1138,0.0003,-0.026260599,0.041598860174417496,,
16626,14,-31.48607826,78.18478846,47.76,16727,332,0.305245042,1147,0.0003,0.7796714901924133,0.042896885,,
16821,14,-34.34812164,77.7835562,47.33,16922,336,0.35438886284828186,1158,0.0003,0.6536219120025635,0.044463858008384705,,
16899,,-32.35860443,,,17000,,0.3201740086078644,,0.0003,0.7429674863815308,0.045076862,294.4,614.6075732645506
17088,14,-34.81970215,79.69303321000001,48.01,17189,340,0.350037158,1193,0.0003,0.6073093414306641,0.046696469,,
17312,14,-34.32173157,81.04128786999999,48.34,17413,344,0.3753122389316559,1205,0.0003,-0.396759391,0.048501063138246536,,
17520,14,-34.63191223,81.68988266000001,48.31,17621,348,0.4501899182796478,1216,0.0003,0.23311176896095276,0.049754258,,
17752,14,-34.96743774,83.09389163,48.53,17853,352,0.3763802647590637,1227,0.0003,0.4341421127319336,0.051087737,,
17899,,-34.18016052,,,18000,,0.3621392548084259,,0.0003,1.0869438648223877,0.052032657,583.4,1186.6036019705184
18118,14,-34.52106476,85.64986773000003,50.08,18219,356,0.36828964948654175,1280,0.0003,0.7576024532318115,0.053760946,,
18401,14,-37.50217819,85.87653327999999,50.79,18502,360,0.4196055233478546,1293,0.0003,-0.669355333,0.055142801,,
18687,14,-38.75316238,87.21781849999999,51.63,18788,364,0.37159886956214905,1307,0.0003,-0.339556456,0.055865623,,
18899,,-35.82611847,,,19000,,0.3756842315196991,,0.0003,0.41715410351753235,0.057034578174352646,215.6,333.8640801171088
19115,14,-36.78890228,88.95120199000002,54,19216,368,0.4083794951438904,1342,0.0003,-0.27245003,0.05832589,,
