eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/std,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/policy_gradient_loss
122.4,144.39526029393636,13000,,,,,,0.9725327491760254,-2.7833141282200815,4.702910423278809,60,0.9259901717305183,0.2,13.12898617386818,0.018309973,0.235205078125,0.0003,-0.00906451755145099
121.4,144.21932599327118,14000,,,,,,,,,,,,,,,,
,,14336,108.67997026966292,30,7,160.68539325842696,472,,,,,,,,,,,
107.2,145.6585606439534,15000,,,,,,0.9748395681381226,-2.7841898038983346,3.1757633686065674,70,0.9386090785264969,0.2,12.597530867159367,0.033362027,0.33427734375,0.0003,0.005671824663295411
104.0,144.74887714172945,16000,,,,,,,,,,,,,,,,
,,16384,111.24068852,30,8,153.95,538,,,,,,,,,,,
110.0,155.04456341855695,17000,,,,,,0.9757235050201416,-2.787500277161598,2.8000900745391846,80,0.9417487718164921,0.2,11.75507673919201,0.060283482,0.316455078125,0.0003,0.0038099861005321143
110.8,155.1906495104031,18000,,,,,,,,,,,,,,,,
,,18432,122.77171026000002,30,9,150.78,604,,,,,,,,,,,
203.0,279.24978826047953,19000,,,,,,0.9723588228225708,-2.7838651716709135,3.1222312450408936,90,0.9649964645504951,0.2,9.101625720411539,0.08277528,0.36513671875,0.0003,0.012678201656672172
200.4,277.12963374627145,20000,,,,,,,,,,,,,,,,
,,20480,131.87583225999998,30,10,150.55,677,,,,,,,,,,,
200.8,271.8005811757583,21000,,,,,,0.9725492000579834,-2.7808332897722723,3.28580379486084,100,0.9425683952867985,0.2,14.927882555127145,0.028140955,0.36796875,0.0003,0.00670309979468584
201.2,273.03777879170485,22000,,,,,,,,,,,,,,,,
,,22528,139.38506399999997,30,11,150.92,750,,,,,,,,,,,
190.4,258.79974864549985,23000,,,,,,0.9703354835510254,-2.777504374086857,11.390359878540039,110,0.9603476300835609,0.2,19.005149200558662,0.044410143,0.401513671875,0.0003,0.015198296061134898
195.6,262.49288032267,24000,,,,,,,,,,,,,,,,
,,24576,144.57111956,29,12,153.04,821,,,,,,,,,,,
130.2,229.42793767921466,25000,,,,,,0.9707397222518921,-2.7782361932098865,11.49255084991455,120,0.9132894426584244,0.2,24.264934346079826,0.043829188,0.34892578125,0.0003,0.0027080409752670677
128.0,225.43092959468487,26000,,,,,,,,,,,,,,,,
