time/episodes,train/ent_coef,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/fps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
160,0.12098395824432373,0.0003,49.23,7415,1.1202971935272217,-4.46433162689209,14,7314,-27.599637985229492,42.4335543,506,,
164,0.11503434926271439,0.0003,49.76,7608,2.152832508087158,-4.882486343383789,14,7507,-27.108644485473633,43.80017666999999,516,,
168,0.10762930661439896,0.0003,50.69,7855,1.7496490478515625,-5.077423095703125,14,7754,-25.791351318359375,45.837607199999994,528,,
,0.10357600450515747,0.0003,,8000,0.9664537906646729,-4.886045455932617,,7899,-26.116893768310547,,,188.09207859026645,147.8
172,0.10066872090101242,0.0003,51.45,8106,1.6513943672180176,-5.062293529510498,14,8005,-27.25912857055664,47.58411921999999,555,,
176,0.09464944899082184,0.0003,51.91,8337,1.928004264831543,-5.207176208496094,14,8236,-26.677837371826172,48.90827719,566,,
180,0.08916279673576355,0.0003,52.33,8565,1.3773937225341797,-5.183382511138916,14,8464,-29.030113220214844,50.223136110000006,577,,
184,0.08373375982046127,0.0003,52.87,8805,1.354665994644165,-5.319009304046631,14,8704,-28.51313591003418,51.73969517999999,589,,
,0.07950855791568756,0.0003,,9000,1.634903073310852,-5.068146228790283,,8899,-27.3624267578125,,,205.33336541479622,147.2
188,0.07685833424329758,0.0003,54.49,9128,2.5002198219299316,-4.676068305969238,14,9027,-28.521814346313477,54.775766909999994,618,,
192,0.07194504886865616,0.0003,55.11,9381,2.1379146575927734,-5.13606071472168,14,9280,-28.706920623779297,56.35964631000001,630,,
196,0.06662717461585999,0.0003,56.34,9672,1.442143201828003,-4.884385585784912,15,9571,-28.67093276977539,58.531734189999995,643,,
200,0.06174446642398834,0.0003,57.55,9977,1.3795766830444336,-4.380620002746582,15,9876,-29.27235984802246,60.73066975,657,,
,0.06138717755675316,0.0003,,10000,2.713012218475342,-4.720172882080078,,9899,-28.992061614990234,,,229.50998193446975,193.2
204,0.05741335451602936,0.0003,58.85,10278,0.7250912189483643,-4.255647659301758,14,10177,-30.70813751220703,62.49129580999999,687,,
208,0.05344700068235397,0.0003,59.91,10576,2.166072368621826,-4.252535820007324,15,10475,-29.871719360351562,63.922731320000004,701,,
212,0.04953153431415558,0.0003,61.14,10905,1.4013344049453735,-4.054091453552246,15,10804,-30.652603149414062,66.0576562,715,,
,0.04849586263298988,0.0003,,11000,1.5603886842727661,-3.058817148208618,,10899,-29.18001937866211,,,286.1109370079801,244.4
216,0.04578643664717674,0.0003,62.98,11274,1.248442530632019,-2.242070198059082,15,11173,-29.65145492553711,68.99369797,750,,
220,0.043088410049676895,0.0003,63.89,11602,0.9064977169036865,-2.6500818729400635,15,11501,-31.73261070251465,71.30942606,764,,
224,0.04076972231268883,0.0003,65.36,11960,1.6886606216430664,-1.998660922050476,15,11859,-32.91468048095703,73.60500857999999,779,,
,0.040533218532800674,0.0003,,12000,0.823857307434082,-1.8370673656463623,,11899,-32.79838562011719,,,285.7381864401177,218.0
228,0.03864557296037674,0.0003,66.37,12324,1.0040792226791382,-2.2682034969329834,15,12223,-33.2349739074707,75.44066274000001,813,,
232,0.037018321454524994,0.0003,67.63,12671,2.138477325439453,-0.563347339630127,15,12570,-32.23482894897461,77.4281675,828,,
,0.0356065034866333,0.0003,,13000,1.1996350288391113,-0.6309569478034973,,12899,-34.24504089355469,,,262.98498925228415,215.6
236,0.035308532416820526,0.0003,69.49,13092,0.8351985812187195,-0.9772219657897949,15,12991,-34.535133361816406,80.03062161,863,,
240,0.034560080617666245,0.0003,70.56,13425,0.8040179014205933,0.5377187132835388,15,13324,-35.11333465576172,81.68586008999999,877,,
244,0.03452014923095703,0.0003,71.95,13741,1.2316539287567139,-0.053562670946121216,15,13640,-35.65555953979492,84.11132942999998,891,,
,0.03472183272242546,0.0003,,14000,0.8863988518714905,1.3022209405899048,,13899,-37.152217864990234,,,248.06296065217757,222.8
248,0.03513757511973381,0.0003,74.56,14210,1.0636944770812988,0.7078912854194641,15,14109,-37.649288177490234,86.84845634,927,,
252,0.03630732372403145,0.0003,76.28,14599,0.7476900815963745,0.06394222378730774,15,14498,-40.06334686279297,88.87215259999999,943,,
256,0.037464916706085205,0.0003,77.24,14929,1.149183988571167,0.3896678686141968,15,14828,-40.324581146240234,90.02534188999998,958,,
,0.03781332075595856,0.0003,,15000,0.6951441764831543,-0.7318624258041382,,14899,-40.847503662109375,,,276.79355804519474,226.6
260,0.03922542184591293,0.0003,80.09,15424,1.0471673011779785,-0.27086347341537476,15,15323,-39.73823165893555,92.65451378999997,995,,
264,0.040892452001571655,0.0003,83.07,15915,1.2254562377929688,-0.09969930350780487,15,15814,-41.62860107421875,94.73910946000002,1014,,
,0.04130404815077782,0.0003,,16000,0.719731867313385,-0.378892719745636,,15899,-42.003665924072266,,,279.3813489132823,257.4
268,0.042410485446453094,0.0003,85.14,16369,1.548414945602417,-0.33143842220306396,15,16268,-43.93812561035156,95.69000428999998,1052,,
272,0.04310412332415581,0.0003,87.55,16861,1.6215457916259766,0.7929682731628418,15,16760,-41.616294860839844,96.79951017999998,1071,,
,0.043700411915779114,0.0003,,17000,1.1959080696105957,1.021559715270996,,16899,-41.09923553466797,,,246.93921446881032,226.4
276,0.04459268972277641,0.0003,90.33,17370,1.1270372867584229,-0.4392346143722534,15,17269,-44.34669494628906,98.45124809999997,1109,,
280,0.044444408267736435,0.0003,92.96,17861,1.8106296062469482,0.7762887477874756,15,17760,-42.24736404418945,100.04411121,1127,,
,0.044572461396455765,0.0003,,18000,1.8181884288787842,0.09319397807121277,,17899,-43.595672607421875,,,271.11628720989137,259.6
284,0.044949304312467575,0.0003,95.63,18368,1.4073677062988281,-0.1068517416715622,15,18267,-45.285499572753906,101.72866823,1167,,
288,0.04530422016978264,0.0003,97.31,18859,1.9544658660888672,-0.8821654319763184,15,18758,-43.07269287109375,101.69574023999999,1186,,
,0.044964104890823364,0.0003,,19000,1.3845934867858887,-0.29004189372062683,,18899,-44.83586883544922,,,289.7688782579422,281.8
292,0.045733194798231125,0.0003,99.88,19369,1.0478748083114624,0.24574466049671173,15,19268,-43.92705535888672,103.30844229999998,1227,,
296,0.047416456043720245,0.0003,101.24,19796,1.1854071617126465,0.16638824343681335,15,19695,-46.44709014892578,103.81010736999998,1244,,
,0.04848523810505867,0.0003,,20000,1.474050760269165,0.6621757745742798,,19899,-46.10253143310547,,,271.76518921402095,262.4
300,0.04933350160717964,0.0003,103.9,20367,2.366555690765381,0.2062608152627945,15,20266,-45.963661193847656,105.97104357999999,1286,,
304,0.0514993742108345,0.0003,105.8,20858,1.576174259185791,-0.33986014127731323,15,20757,-46.82122039794922,107.21225901,1305,,
